noise_perc,noise_magn,noise_type,filter,RMSE,MAPE,R2,F1,REC,PRE,POR,DATA,ALG
0.0,0.1,persize,1,9.856754103590328,0.27721591507572735,0.6811509941933546,0.7776699029126214,0.0,0.0,0.0,ccs,RegENN03Wei3_k9.0_alpha0.5
0.0,0.1,persize,1,7.636961762501236,0.20721661030099586,0.799002636409945,0.5349514563106796,0.0,0.0,0.0,ccs,RegENN03Wei3_k9.0_alpha1.0
0.0,0.1,persize,1,5.285298304600195,0.12937938709435232,0.9027445965794327,0.1475728155339806,0.0,0.0,0.0,ccs,RegENN03Wei3_k9.0_alpha3.0
0.0,0.1,persize,1,5.045798126028191,0.1259729208190019,0.9112276505833234,0.11553398058252429,0.0,0.0,0.0,ccs,RegENN03Wei3_k9.0_alpha5.0
0.0,0.1,persize,1,10.257870127765301,0.3106084260615648,0.6534131281766387,0.7368932038834952,0.0,0.0,0.0,ccs,RegENN01_k9.0_alpha0.5
0.0,0.1,persize,1,7.089294393475528,0.19417168960752176,0.8381885305014837,0.4815533980582525,0.0,0.0,0.0,ccs,RegENN01_k9.0_alpha1.0
0.0,0.1,persize,1,5.173805493904548,0.12641903731976117,0.9063546040540207,0.10582524271844662,0.0,0.0,0.0,ccs,RegENN01_k9.0_alpha3.0
0.0,0.1,persize,1,5.131321417042146,0.12707161720510163,0.9077570173189254,0.09999999999999998,0.0,0.0,0.0,ccs,RegENN01_k9.0_alpha5.0
0.0,0.1,persize,1,9.296135452889995,0.27263028967997466,0.7073326282224365,0.7650485436893204,0.0,0.0,0.0,ccs,RegENN03_k9.0_alpha0.5
0.0,0.1,persize,1,7.374206509870003,0.1998485377925705,0.8222503284488444,0.5339805825242718,0.0,0.0,0.0,ccs,RegENN03_k9.0_alpha1.0
0.0,0.1,persize,1,5.264543502898091,0.12858386467265429,0.9036672450801986,0.1174757281553398,0.0,0.0,0.0,ccs,RegENN03_k9.0_alpha3.0
0.0,0.1,persize,1,5.0748020270722405,0.12616198135470136,0.9099479724807952,0.10097087378640779,0.0,0.0,0.0,ccs,RegENN03_k9.0_alpha5.0
0.1,0.1,persize,1,9.684554542575066,0.28080131277782516,0.6877225371637323,0.7640776699029126,0.16475699581867867,0.7065217391304348,0.09325298229276931,ccs,RegENN03Wei3_k9.0_alpha0.5
0.1,0.1,persize,1,7.53267415676902,0.20477806067141538,0.8089553718678544,0.5378640776699029,0.16651988490600517,0.4826086956521739,0.10062716353960972,ccs,RegENN03Wei3_k9.0_alpha1.0
0.1,0.1,persize,1,5.280826821539232,0.13274943654655777,0.9035053190187416,0.15436893203883495,0.09116160322730477,0.06956521739130435,0.13280918447854712,ccs,RegENN03Wei3_k9.0_alpha3.0
0.1,0.1,persize,1,5.0741775302864776,0.12814957505968488,0.9101268302216563,0.11456310679611648,0.033731750473081655,0.01956521739130435,0.1262402303578774,ccs,RegENN03Wei3_k9.0_alpha5.0
0.1,0.1,persize,1,10.229283052769862,0.30664497634986077,0.6559453083972152,0.7349514563106796,0.1709553071163517,0.7043478260869567,0.09728722025701556,ccs,RegENN01_k9.0_alpha0.5
0.1,0.1,persize,1,7.341001484624343,0.1964642813008461,0.828841586000787,0.4970873786407767,0.16897892909192164,0.44673913043478264,0.10421043078327821,ccs,RegENN01_k9.0_alpha1.0
0.1,0.1,persize,1,5.231486907959848,0.12948363329964546,0.9043785757478615,0.10776699029126213,0.050728061919753674,0.028260869565217388,0.26700715950715953,ccs,RegENN01_k9.0_alpha3.0
0.1,0.1,persize,1,5.1168789325026545,0.12785734893463507,0.9081685623768856,0.09999999999999998,0.004255319148936169,0.002173913043478261,0.1,ccs,RegENN01_k9.0_alpha5.0
0.1,0.1,persize,1,9.320071744569008,0.2796317476628195,0.7084540042244107,0.7456310679611651,0.16931122309799143,0.7119565217391305,0.09608242798081731,ccs,RegENN03_k9.0_alpha0.5
0.1,0.1,persize,1,7.349845441013887,0.20286826509507142,0.8238645237219395,0.5310679611650486,0.1647329775293036,0.475,0.09965276347028736,ccs,RegENN03_k9.0_alpha1.0
0.1,0.1,persize,1,5.239429828681331,0.13012378077707212,0.9044843523489697,0.11941747572815531,0.08066164413990501,0.04891304347826087,0.23113240528858378,ccs,RegENN03_k9.0_alpha3.0
0.1,0.1,persize,1,5.069239596216494,0.1273891795910195,0.9098670968965767,0.10194174757281549,0.008421519223590893,0.004347826086956522,0.14166666666666666,ccs,RegENN03_k9.0_alpha5.0
0.3,0.1,persize,1,9.458366506165591,0.26991559699119133,0.7039423997505575,0.7660194174757282,0.427130594397643,0.7388489208633094,0.3004060300397387,ccs,RegENN03Wei3_k9.0_alpha0.5
0.3,0.1,persize,1,7.4826839095166715,0.21087555587473047,0.8131843946731111,0.5320388349514563,0.3937671492051012,0.5061151079136691,0.32225168420528294,ccs,RegENN03Wei3_k9.0_alpha1.0
0.3,0.1,persize,1,5.40515491690933,0.1343955942894237,0.8979989677807436,0.15825242718446597,0.11238790624605918,0.06762589928057554,0.33608909794053765,ccs,RegENN03Wei3_k9.0_alpha3.0
0.3,0.1,persize,1,5.2489849739466425,0.1329694207753201,0.90307814617856,0.11553398058252429,0.0387975428639622,0.02050359712230216,0.3638143719026072,ccs,RegENN03Wei3_k9.0_alpha5.0
0.3,0.1,persize,1,9.91218416536225,0.30244118183403645,0.6754157182307532,0.7339805825242718,0.4325186183133245,0.7302158273381295,0.3072653961189142,ccs,RegENN01_k9.0_alpha0.5
0.3,0.1,persize,1,7.514913262785224,0.19992087860036822,0.8152140388534018,0.49223300970873785,0.3897059905327942,0.476978417266187,0.3295277963328714,ccs,RegENN01_k9.0_alpha1.0
0.3,0.1,persize,1,5.3472366633261,0.13181061407048103,0.8991165241758409,0.10582524271844662,0.018184990241438593,0.00935251798561151,0.345007215007215,ccs,RegENN01_k9.0_alpha3.0
0.3,0.1,persize,1,5.2505376115123354,0.13219333757800084,0.9027512143916353,0.10097087378640779,0.0014311315924219151,0.0007194244604316547,0.15,ccs,RegENN01_k9.0_alpha5.0
0.3,0.1,persize,1,9.251147415078936,0.27938873888249,0.7112727726020563,0.7592233009708738,0.43311801248134724,0.7424460431654677,0.30574969210842456,ccs,RegENN03_k9.0_alpha0.5
0.3,0.1,persize,1,7.626690069715446,0.2104602265855655,0.8044137309411238,0.5262135922330098,0.3922866719162963,0.5025179856115108,0.3217809151484814,ccs,RegENN03_k9.0_alpha1.0
0.3,0.1,persize,1,5.4526006172613695,0.1334365112227399,0.8964908114925525,0.12524271844660195,0.06287646386817342,0.03381294964028776,0.4567219149585552,ccs,RegENN03_k9.0_alpha3.0
0.3,0.1,persize,1,5.230610139442184,0.13155195801793676,0.9034941567228184,0.10194174757281549,0.0028444511748820073,0.0014388489208633094,0.125,ccs,RegENN03_k9.0_alpha5.0
0.5,0.1,persize,1,9.234561799081355,0.2679979209471198,0.7102930622329421,0.7601941747572816,0.6003811265110522,0.7373650107991361,0.5063704211850533,ccs,RegENN03Wei3_k9.0_alpha0.5
